Code,Name,General Inquiries,Registration
30798,"A.C.N. 613 267 191 Pty Ltd
   Trading as:
The College of Health and Fitness",0733850195 ,Current
22604,"A.T.T.N. Pty Ltd
   Trading as:
ATTN PTY LTD
Australian Academic Solutions",1300525663 ,Current
45275,"AA Training Pty Ltd
   Trading as:
OZ Trade College
Hospitality Training Academy",0416560452 ,Current
51428,"AAMC Training Group Pty Ltd
   Trading as:
AAMC Training Group",61393913643 ,Current
31500,"ABOARD TRAINING AUSTRALIA PTY LTD
   Trading as:
Aboard Training Australia",0399570827 ,Current
32448,ACADEMIQUE PTY LTD,+61421766637 ,Current
90511,"Academy of Information Technology Pty Ltd
   Trading as:
CODER ACADEMY AUSTRALIA
WORK READY EDUCATION
WORK READY INSTITUTE",0292118399 ,Current
40860,"Active Transition Training Pty Ltd
   Trading as:
MELBOURNE METROPOLITAN COLLEGE",0418270682 ,Current
91622,"AD1 College Pty Ltd
   Trading as:
AD1 College",0295940655 ,Current
40312,"Adelaide Education Group Pty Ltd
   Trading as:
Adelaide Institute of Business and Technology
AIBT College
Adelaide International School
Adelaide International High School
Adelaide Chinese School
Adelaide International School of Music
Adelaide School of Music
Adelaide Independent Schools Alliance
Adelaide Research Institute
Adelaide Technical College
Adelaide Institute of Health",0882120990 ,Current
45197,"ADVANCED GLOBAL EDUCATION PTY LTD
   Trading as:
SYDNEY COLLEGE OF BUSINESS & MANAGEMENT",0450800399,Current
45646,Aim Institute Pty Ltd,0424721300,Current
70056,"Alana Kaye Group Pty Ltd
   Trading as:
Alana Kaye Training
Alana Kaye International
Alana Kaye College",0889426100,Current
90525,Alphacrucis College Limited,1300228355,Current
41511,"ALPINE TRAINING PTY LTD
   Trading as:
ALPINE TRAINING",0735541093,Current
2010,"AMA Services (WA) Pty Ltd
   Trading as:
AMA MEDICAL PRODUCTS
AMA MEDICAL
AMA SERVICES (WA) PTY LTD
AMA MEDI-STAFF
WA DOCTOR & WAGP MEDICAL FORUM
YOUTH FRIENDLY G P
YOUTH FRIENDLY DOCTOR
AMACIS
DR YES
DR Y.E.S. (DOCTOR YOUTH EDUCATION SESSIONS)
YOUTH FRIENDLY DOCTOR TRAINING PROGRAM
AMA RECRUIT
AMA APPRENTICESHIP & TRAINEESHIP SERVICES
AMA RECRUITMENT & TRAINING SERVICES
AUSTRALIAN MEDICAL SUPERANNUATION
AMA FINANCIAL SERVICES
AMA RISK INSURANCE
AMA Mental Health Workplace Accreditation Program
Probity Financial Advisers
Probity Risk and Financial Advisers
AMA Insurance and Financial Services
AMA International College
AMA College",0892733000,Current
45041,"ANIT AUSTRALIA PTY LTD
   Trading as:
Albright Institute of Business and Language",0421725065,Current
45394,"Apeiro Institute Pty Ltd
   Trading as:
Apeiro Institute",865580303,Current
40744,"AQI HOLDINGS PTY LTD AS TRUSTEE FOR AQI TRUST
   Trading as:
Australian Qualifications Institute",0417605601,Current
90870,"ARROW COLLABORATIVE SERVICES LIMITED
   Trading as:
STRATEGIC SERVICES AUSTRALIA
Local Government Training Institute",(02)49222333,Current
45638,"ASHAMARA PTY LTD
   Trading as:
LUMINOUS EDUCATION AUSTRALIA",0400046036,Current
6139,"Ashtrail Pty Ltd
   Trading as:
Major Training Group
MyPath Education",0734897733,Current
31718,"Asset Training Australia Pty Ltd
   Trading as:
Asset Training Australia
Asset College",1300731602,Current
41468,"ASTON COLLEGE PTY LTD
   Trading as:
Aston Higher Learning College (AHLC)",0451717081,Current
32237,"Aurora Training Institute Pty Ltd
   Trading as:
Aurora Training Institute",1300936864,Current
31352,"Ausintec Academy Pty Ltd as trustee for the Ausintec Academy Trust
   Trading as:
Ausintec Academy
Online Horse College
International Horse College",0731025498,Current
41144,"AUSTRALASIAN INTERNATIONAL ACADEMY PTY. LTD.
   Trading as:
Australasian International Academy Pty Ltd",1300242669,Current
31246,"Australia Moreton Education Group Pty Ltd
   Trading as:
Queensland Academy of Technology",0730020888,Current
45240,AUSTRALIAN ACADEMY OF ADVANCED SKILLS PTY LTD,0430877719,Current
110069,"Australian Academy of Nursing Pty Ltd
   Trading as:
Australian College of Studies Co.",1300415233,Current
21595,"Australian Academy of Vocational Education and Trades Pty Ltd
   Trading as:
ACADEMIA INTERNATIONAL
ACADEMIA AUSTRALIA",0396714755,Current
40328,Australian Adelaide International College Pty Ltd,0882327788,Current
41593,"Australian Capital Group Pty Ltd
   Trading as:
Australian Capital College
CAPITAL COLLEGE",0261470999,Current
90271,"Australian Careers Business College Pty Ltd
   Trading as:
Australian Careers Business College",0298240000,Current
91779,"Australian City International College Pty Ltd
   Trading as:
Australian City International College",457714820,Current
91412,"Australian College of Commerce & Information Technology Pty Ltd
   Trading as:
ACCIT",292613009,Current
1441,"Australian College of Commerce & Management Pty Ltd
   Trading as:
AUSTRALIAN COLLEGE OF COMMERCE & MANAGEMENT
ACCM College",0242259881,Current
40486,"Australian College of Finance Pty Ltd
   Trading as:
Australian College of Finance & Management
Industry Skills Training",1300757296,Current
45535,"Australian College of Management and Innovation Pty Ltd
   Trading as:
Australian College of Management and Innovation",0425611786,Current
32017,Australian College of Technology and Business Pty Ltd,0738526967,Current
91110,"Australian College Pty Ltd
   Trading as:
AUSTRALIAN COLLEGE LEADERS IN DISTANCE EDUCATION",0293862500,Current
45239,Australian Community and Management College Pty Ltd,0296332610,Current
45271,"AUSTRALIAN DESIGN COLLEGE PTY LTD
   Trading as:
LIBERTY DESIGN COLLEGE",0413893328,Current
4282,Australian Forensic Services Pty Ltd,0261621777,Current
45553,Australian Future Wellbeing Education Pty Ltd,0423462687,Current
45229,Australian Global Academy Pty Ltd,1300151528,Current
41162,Australian Global College Pty Ltd,1300929222,Current
41338,Australian Harvard International College PTY LTD,0292680085,Current
32217,"Australian Hospitality Skills Recognition Pty Ltd
   Trading as:
Australian Skills Management Institute",1300400269,Current
41487,"AUSTRALIAN INSTITUTE OF BUSINESS AND TECHNOLOGY PTY. LTD.
   Trading as:
Sydney International School",0292463997,Current
40835,"Australian Institute of Business Intelligence Pty Ltd
   Trading as:
Australian College of Business Intelligence",1300237741,Current
32309,Australian Institute of Learning Pty Ltd,0755625030,Current
0049,"Australian Institute of Management Education and Training Pty Ltd
   Trading as:
Centre for Public Management
AIM College",1300658337,Current
0058,"Australian Institute of Management-Western Australian Human Resource Development Centre Limited
   Trading as:
AUSTRALIAN INSTITUTE OF MANAGEMENT HUMAN RESOURCE DEVELOPMENT CENTRE INC
Australian Institute of Leadership & Management
AIM WA International
Australasian Institute of Leadership & Management",0893838053,Current
32363,Australian Institute of Personal Trainers Pty Ltd,1300130157,Current
32521,Australian Institute of Professionals (AIP) Pty Ltd,0430070587,Current
45390,"Australian International Studies Institute Pty Ltd
   Trading as:
Ambridge Institute",0291696878,Current
32044,"Australian Language Schools Pty Ltd
   Trading as:
International House Brisbane - ALS
IH Brisbane - ALS
Australian Language Schools
ALS Certificates and Diplomas",0732293389,Current
21368,"Australian National Institute of Business & Technology Pty Ltd
   Trading as:
Australian National Institute of Business & Technology",0393880402,Current
52007,"Australian Professional Skills Institute Pty Ltd
   Trading as:
Australian Professional Skills Institute",0863654386,Current
40219,Australian Skills Development Institute Pty Ltd,733742339,Current
32519,Australian Skills Group Pty Ltd,0738898233,Current
45556,Australian Technology and Agricultural College LTD,755478598,Current
45365,Australian Tertiary Institute Pty Ltd,(08)94982024,Current
31399,"Australian Trade Training College Ltd
   Trading as:
Australian Trade Training College",0734145979,Current
41104,"AUSTRALIAN TRAINING AND EDUCATION COLLEGE PTY LTD
   Trading as:
Australian Training And Education College
GILLS COLLEGE",0434693026,Current
